backers_count,category,country,spotlight,staff_pick,state,usd_pledged,live_period,state_change_period,usd_goal
1,"{""id"":319,""name"":""Kids"",""slug"":""music/kids"",""position"":11,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/kids""}}}",US,FALSE,FALSE,failed,1,29,29,7500
464,"{""id"":312,""name"":""Restaurants"",""slug"":""food/restaurants"",""position"":9,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/restaurants""}}}",US,TRUE,TRUE,successful,26242.18,45,45,24080
1,"{""id"":332,""name"":""Apps"",""slug"":""technology/apps"",""position"":2,""parent_id"":16,""parent_name"":""Technology"",""color"":6526716,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/technology/apps""}}}",US,FALSE,FALSE,failed,1,60,60,55000
4,"{""id"":313,""name"":""Small Batch"",""slug"":""food/small batch"",""position"":10,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/small%20batch""}}}",US,FALSE,FALSE,failed,97,29,29,5000
76,"{""id"":263,""name"":""Apparel"",""slug"":""fashion/apparel"",""position"":2,""parent_id"":9,""parent_name"":""Fashion"",""color"":16752598,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/fashion/apparel""}}}",US,TRUE,FALSE,successful,8814,45,45,6000
153,"{""id"":30,""name"":""Documentary"",""slug"":""film & video/documentary"",""position"":4,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/documentary""}}}",US,TRUE,FALSE,successful,21785,33,33,21000
10,"{""id"":309,""name"":""Farms"",""slug"":""food/farms"",""position"":7,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/farms""}}}",AU,TRUE,FALSE,successful,1377.4125569299,50,50,1127.320305
194,"{""id"":22,""name"":""Illustration"",""slug"":""art/illustration"",""position"":4,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/illustration""}}}",US,TRUE,FALSE,successful,16532,33,33,15000
41,"{""id"":22,""name"":""Illustration"",""slug"":""art/illustration"",""position"":4,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/illustration""}}}",FR,TRUE,FALSE,successful,782.547699,30,30,571.2026999999999
76,"{""id"":332,""name"":""Apps"",""slug"":""technology/apps"",""position"":2,""parent_id"":16,""parent_name"":""Technology"",""color"":6526716,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/technology/apps""}}}",JP,TRUE,FALSE,successful,9485.93749315,30,30,9140.35
40,"{""id"":341,""name"":""Wearables"",""slug"":""technology/wearables"",""position"":14,""parent_id"":16,""parent_name"":""Technology"",""color"":6526716,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/technology/wearables""}}}",US,FALSE,TRUE,failed,8422,30,30,50000
14,"{""id"":11,""name"":""Film & Video"",""slug"":""film & video"",""position"":7,""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video""}}}",US,TRUE,FALSE,successful,1778,28,28,1500
2,"{""id"":27,""name"":""Graphic Design"",""slug"":""design/graphic design"",""position"":3,""parent_id"":7,""parent_name"":""Design"",""color"":2577151,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/design/graphic%20design""}}}",US,FALSE,FALSE,failed,56,17,17,300
2,"{""id"":361,""name"":""Web"",""slug"":""journalism/web"",""position"":5,""parent_id"":13,""parent_name"":""Journalism"",""color"":1228010,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/journalism/web""}}}",DE,FALSE,FALSE,failed,2.25539406,20,20,7893.87921
0,"{""id"":328,""name"":""Young Adult"",""slug"":""publishing/young adult"",""position"":14,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/young%20adult""}}}",US,FALSE,FALSE,failed,0,30,30,7000
752,"{""id"":361,""name"":""Web"",""slug"":""journalism/web"",""position"":5,""parent_id"":13,""parent_name"":""Journalism"",""color"":1228010,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/journalism/web""}}}",MX,TRUE,TRUE,successful,28042.4896174742,39,39,21627.878176000002
136,"{""id"":249,""name"":""Anthologies"",""slug"":""comics/anthologies"",""position"":1,""parent_id"":3,""parent_name"":""Comics"",""color"":16776056,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/comics/anthologies""}}}",US,TRUE,FALSE,successful,7949,30,30,7500
106,"{""id"":6,""name"":""Dance"",""slug"":""dance"",""position"":4,""color"":10917369,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/dance""}}}",US,TRUE,FALSE,successful,8487,26,26,7900
23,"{""id"":33,""name"":""Webseries"",""slug"":""film & video/webseries"",""position"":19,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/webseries""}}}",GB,TRUE,FALSE,successful,577.088026,30,30,364.476648
226,"{""id"":324,""name"":""Anthologies"",""slug"":""publishing/anthologies"",""position"":2,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/anthologies""}}}",US,FALSE,FALSE,failed,4770.98,30,30,6500
83,"{""id"":33,""name"":""Webseries"",""slug"":""film & video/webseries"",""position"":19,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/webseries""}}}",US,TRUE,TRUE,successful,18772,35,35,15000
0,"{""id"":310,""name"":""Farmer's Markets"",""slug"":""food/farmer's markets"",""position"":6,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/farmer's%20markets""}}}",GB,FALSE,FALSE,canceled,0,29,12,15452.2009
45,"{""id"":34,""name"":""Tabletop Games"",""slug"":""games/tabletop games"",""position"":6,""parent_id"":12,""parent_name"":""Games"",""color"":51627,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/games/tabletop%20games""}}}",GB,TRUE,FALSE,successful,4316.5431586,17,17,377.43017999999995
78,"{""id"":37,""name"":""Country & Folk"",""slug"":""music/country & folk"",""position"":5,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/country%20&%20folk""}}}",GB,TRUE,FALSE,successful,1797.867805845,30,30,805.917582
1,"{""id"":345,""name"":""DIY"",""slug"":""crafts/diy"",""position"":3,""parent_id"":26,""parent_name"":""Crafts"",""color"":16744876,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/crafts/diy""}}}",NL,FALSE,FALSE,failed,1.15554837,60,60,5777.74185
6,"{""id"":285,""name"":""Plays"",""slug"":""theater/plays"",""position"":6,""parent_id"":17,""parent_name"":""Theater"",""color"":16743775,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/theater/plays""}}}",US,FALSE,FALSE,failed,106,60,60,90000
114,"{""id"":293,""name"":""Drama"",""slug"":""film & video/drama"",""position"":5,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/drama""}}}",US,TRUE,FALSE,successful,6292.37,47,47,6000
0,"{""id"":310,""name"":""Farmer's Markets"",""slug"":""food/farmer's markets"",""position"":6,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/farmer's%20markets""}}}",US,FALSE,FALSE,canceled,0,30,18,100000
1,"{""id"":39,""name"":""Hip-Hop"",""slug"":""music/hip-hop"",""position"":8,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/hip-hop""}}}",US,FALSE,FALSE,failed,10,40,40,15743
3,"{""id"":362,""name"":""Makerspaces"",""slug"":""technology/makerspaces"",""position"":9,""parent_id"":16,""parent_name"":""Technology"",""color"":6526716,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/technology/makerspaces""}}}",CA,FALSE,FALSE,failed,38.56064457,30,30,3024.36428
61,"{""id"":22,""name"":""Illustration"",""slug"":""art/illustration"",""position"":4,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/illustration""}}}",US,TRUE,FALSE,successful,3875,30,30,3600
2,"{""id"":323,""name"":""Academic"",""slug"":""publishing/academic"",""position"":1,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/academic""}}}",US,FALSE,FALSE,failed,40,30,30,15000
11,"{""id"":22,""name"":""Illustration"",""slug"":""art/illustration"",""position"":4,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/illustration""}}}",GB,TRUE,FALSE,successful,241.96091244,10,10,231.6647034
122,"{""id"":313,""name"":""Small Batch"",""slug"":""food/small batch"",""position"":10,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/small%20batch""}}}",US,TRUE,FALSE,successful,19705,30,30,15000
103,"{""id"":250,""name"":""Comic Books"",""slug"":""comics/comic books"",""position"":2,""parent_id"":3,""parent_name"":""Comics"",""color"":16776056,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/comics/comic%20books""}}}",US,TRUE,FALSE,successful,4910,29,29,4500
21,"{""id"":53,""name"":""Public Art"",""slug"":""art/public art"",""position"":9,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/public%20art""}}}",US,TRUE,FALSE,successful,2603,89,89,2500
14,"{""id"":46,""name"":""Children's Books"",""slug"":""publishing/children's books"",""position"":5,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/children's%20books""}}}",DE,TRUE,FALSE,successful,676.79551974,29,29,670.0945740000001
26,"{""id"":311,""name"":""Food Trucks"",""slug"":""food/food trucks"",""position"":8,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/food%20trucks""}}}",US,FALSE,FALSE,failed,1127,30,30,5000
0,"{""id"":25,""name"":""Sculpture"",""slug"":""art/sculpture"",""position"":10,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/sculpture""}}}",US,FALSE,FALSE,failed,0,55,55,2500
142,"{""id"":37,""name"":""Country & Folk"",""slug"":""music/country & folk"",""position"":5,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/country%20&%20folk""}}}",US,TRUE,TRUE,successful,18023,30,30,18000
